"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"BATTERY";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";
"3";"";"JST_3PIN";"JSTPH3";"ANEMOMETER, DHT, RAINGAUGE";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"UART";"PIN HEADER";"";"";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"SWD";"PIN HEADER";"";"";"";"";"";"";"";
"1";"100K";"R-EU_R0805W";"R0805W";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"4";"100nF";"C-EUC0805K";"C0805K";"C5, C8, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";
"1";"1K";"R-EU_R0805W";"R0805W";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"R";
"2";"6.8pF";"C-EUC0805K";"C0805K";"C1, C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"C";
"1";"8MHz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";
"1";"JST_4PIN";"JST_4PIN";"JST-PH-2-SMT-RA";"VANE";"";"";"";"";"";"";"";"";
"1";"LORA-RA-01-433MHZ";"LORA-RA-01-433MHZ";"LORA-RA1-SMD";"U$1";"433 MHz Lora Ra-01 Radio Transceiver Module based on SX1278 chip.";"";"";"";"";"";"";"";
"1";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"RESET";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-00815";"COM-08229";"";
"1";"STM32F042K6T";"STM32F042K6T";"LQFP32";"IC2";"ARM 32-bit Cortex™-M0 CPU";"";"";"";"";"";"";"";
